film_oscar_award_id,year,film_id,oscar_award_type_id,oscar_award_category_id
3529,1970,1408,2,4
3530,1970,1409,2,5
3531,1970,1410,2,5
3532,1970,1410,2,7
3533,1970,1410,2,10
3534,1970,1410,2,15
3535,1970,1410,1,16
3536,1970,1411,1,3
3537,1970,1411,2,7
3538,1970,1411,2,9
3539,1970,1411,2,17
3540,1970,1412,2,10
3541,1970,1412,2,15
3542,1971,1413,2,6
3543,1971,1413,2,9
3544,1971,1413,2,10
3545,1971,1413,2,17
3546,1971,1414,2,5
3547,1971,1414,2,8
3548,1971,1414,2,12
3549,1971,1414,2,13
3550,1971,1414,1,16
3551,1971,1415,2,13
3552,1971,1416,2,4
3553,1971,1417,2,8
3554,1971,1418,2,15
3555,1971,1419,2,1
3556,1971,1419,2,2
3557,1971,1419,2,5
3558,1971,1419,2,6
3559,1971,1419,1,7
3560,1971,1419,2,9
3561,1971,1419,1,12
3562,1971,1419,1,15
3563,1971,1420,2,17
3564,1971,1421,1,3
3565,1971,1421,2,17
3566,1971,1422,2,1
3567,1971,1422,2,10
3568,1971,1422,2,13
3569,1971,1422,2,15
3570,1971,1423,2,3
3571,1971,1423,2,5
3572,1971,1423,2,8
3573,1971,1423,2,12
3574,1971,1423,2,15
3575,1971,1424,2,3
3576,1971,1425,2,3
3577,1971,1425,1,5
3578,1971,1425,2,6
3579,1971,1425,2,7
3580,1971,1425,1,8
3581,1971,1425,2,12
3582,1971,1426,2,12
3583,1971,1426,1,13
3584,1971,1427,2,2
3585,1971,1427,2,13
3586,1971,1428,2,12
3587,1971,1429,2,7
3588,1971,1429,2,10
3589,1971,1429,1,12
3590,1971,1429,2,17
3591,1971,1430,2,1
3592,1971,1430,2,3
3593,1971,1430,2,9
3594,1971,1430,2,17
3595,1971,1431,2,12
3596,1971,1432,2,5
3597,1971,1432,2,10
3598,1971,1433,2,12
3599,1971,1434,2,17
3600,1971,1435,1,1
3601,1971,1435,2,2
3602,1971,1435,1,6
3603,1971,1435,2,7
3604,1971,1435,1,9
3605,1971,1435,1,10
3606,1971,1435,2,15
3607,1971,1435,1,17
3608,1971,1436,2,17
3609,1971,1437,2,4
3610,1971,1438,2,1
3611,1971,1438,1,17
3612,1971,1439,1,2
3613,1971,1439,1,4
3614,1971,1439,2,6
3615,1971,1439,2,7
3616,1971,1439,2,9
3617,1971,1439,2,17
