2012 (85th),HONORARY AWARD,"To Hal Needham, an innovator, mentor, and master technician who elevated his craft to an art and made the impossible look easy.",Yes,,
2012 (85th),JEAN HERSHOLT HUMANITARIAN AWARD,Jeffrey Katzenberg,Yes,,
2012 (85th),JOHN A. BONNER MEDAL OF COMMENDATION,To Bill Taylor in appreciation for outstanding service and dedication in upholding the high standards of the Academy of Motion Picture Arts and Sciences.,Yes,,
2012 (85th),MAKEUP AND HAIRSTYLING,"Hitchcock -- Howard Berger, Peter Montagna and Martin Samuel",No,,
2012 (85th),MAKEUP AND HAIRSTYLING,Les Misérables -- Lisa Westcott and Julie Dartnell,Yes,,
2012 (85th),MAKEUP AND HAIRSTYLING,"The Hobbit: An Unexpected Journey -- Peter Swords King, Rick Findlater and Tami Lane",No,,
2012 (85th),MUSIC (Original Score),Anna Karenina -- Dario Marianelli,No,,
2012 (85th),MUSIC (Original Score),Argo -- Alexandre Desplat,No,,
2012 (85th),MUSIC (Original Score),Life of Pi -- Mychael Danna,Yes,,
2012 (85th),MUSIC (Original Score),Lincoln -- John Williams,No,,
2012 (85th),MUSIC (Original Score),Skyfall -- Thomas Newman,No,,
2012 (85th),MUSIC (Original Song),Before My Time from Chasing Ice -- Music and Lyric by J. Ralph,No,,
2012 (85th),MUSIC (Original Song),Everybody Needs A Best Friend from Ted -- Music by Walter Murphy; Lyric by Seth MacFarlane,No,,
2012 (85th),MUSIC (Original Song),Pi's Lullaby from Life of Pi -- Music by Mychael Danna; Lyric by Bombay Jayashri,No,,
2012 (85th),MUSIC (Original Song),Skyfall from Skyfall -- Music and Lyric by Adele Adkins and Paul Epworth,Yes,,
2012 (85th),MUSIC (Original Song),Suddenly from Les Misérables -- Music by Claude-Michel Schönberg; Lyric by Herbert Kretzmer and Alain Boublil,No,,
2012 (85th),PRODUCTION DESIGN,Anna Karenina -- Production Design: Sarah Greenwood; Set Decoration: Katie Spencer,No,,
2012 (85th),PRODUCTION DESIGN,Les Misérables -- Production Design: Eve Stewart; Set Decoration: Anna Lynch-Robinson,No,,
2012 (85th),PRODUCTION DESIGN,Life of Pi -- Production Design: David Gropman; Set Decoration: Anna Pinnock,No,,
2012 (85th),PRODUCTION DESIGN,Lincoln -- Production Design: Rick Carter; Set Decoration: Jim Erickson,Yes,,
2012 (85th),PRODUCTION DESIGN,The Hobbit: An Unexpected Journey -- Production Design: Dan Hennah; Set Decoration: Ra Vincent and Simon Bright,No,,
2012 (85th),SCIENTIFIC AND TECHNICAL AWARD (Academy Award of Merit),"To COOKE OPTICS LIMITED for their continuing innovation in the design, development and manufacture of advanced camera lenses that have helped define the look of motion pictures over the last century. Since their first series of motion picture lenses, Cooke Optics has continued to create optical innovations decade after decade. Producing what is commonly referred to as the ""Cooke Look,"" these lenses have often been the lens of choice for creative cinematographers worldwide. [Lenses and Filters]",Yes,,
2012 (85th),SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),"To DR. PHILIP McLAUCHLAN, ALLAN JAENICKE, JOHN-PAUL SMITH and ROSS SHAIN for the creation of the Mocha planar tracking and rotoscoping software at Imagineer Systems Ltd. Mocha provides robust planar-tracking even when there are no clearly defined points in the image. Its effectiveness, ease of use, and ability to exchange rotoscoping data with other image processing tools have resulted in widespread adoption of the software in the visual effects industry. [Digital Imaging Technology]",Yes,,
2012 (85th),SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),"To JOE MURTHA, WILLIAM FREDERICK and JIM MARKLAND of Anton/Bauer, Inc. for the design and creation of the CINE VCLX Portable Power System. The CINE VCLX provides extended run-times and flexibility, allowing users to power cameras and other supplementary equipment required for production. This high-capacity battery system is also matched to the high-demand, always-on digital cinema cameras. [Systems]",Yes,,
2012 (85th),SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),"To SIMON CLUTTERBUCK, JAMES JACOBS and DR. RICHARD DORLING for the development of the Tissue Physically-Based Character Simulation Framework. This framework faithfully and robustly simulates the effects of anatomical structures underlying a character's skin. The resulting dynamic and secondary motions provide a new level of realism to computer-generated creatures. [Digital Imaging Technology]",Yes,,
2012 (85th),SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),"To J.P. LEWIS, MATT CORDNER and NICKSON FONG for the invention and publication of the Pose Space Deformation technique. Pose Space Deformation (PSD) introduced the use of novel sparse data interpolation techniques to the task of shape interpolation. The controllability and ease of achieving artistic intent have led to PSD being a foundational technique in the creation of computer-generated characters. [Digital Imaging Technology]",Yes,,
