"","Year","Nominee","actor in a leading role","actor in a supporting role","actress in a leading role","actress in a supporting role","art direction","best picture","cinematography","costume design","directing","film editing","makeup","music (score)","music (song)","sound editing","sound mixing","visual effects","writing","writing (adapted screenplay)","writing (original screenplay)"
"154","1938","Storm over Bengal","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
"155","1938","Suez","0","0","0","0","0","0","2","0","0","0","0","2","0","0","2","0","0","0","0"
"156","1938","Sweethearts","0","0","0","0","0","0","0","0","0","0","0","2","0","0","2","0","0","0","0"
"157","1938","Test Pilot","0","0","0","0","0","2","0","0","0","2","0","0","0","0","0","0","2","0","0"
"158","1938","That Certain Age","0","0","0","0","0","0","0","0","0","0","0","0","2","0","2","0","0","0","0"
"159","1938","The Adventures of Robin Hood","0","0","0","0","1","2","0","0","0","1","0","1","0","0","0","0","0","0","0"
"160","1938","The Adventures of Tom Sawyer","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"161","1938","The Big Broadcast of 1938","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"162","1938","The Buccaneer","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"163","1938","The Citadel","2","0","0","0","0","2","0","0","2","0","0","0","0","0","0","0","2","0","0"
"164","1938","The Cowboy and the Lady","0","0","0","0","0","0","0","0","0","0","0","2","2","0","1","0","0","0","0"
"165","1938","The Goldwyn Follies","0","0","0","0","2","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
"166","1938","The Great Waltz","0","0","0","2","0","0","1","0","0","2","0","0","0","0","0","0","0","0","0"
"167","1938","The Lady Objects","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"168","1938","The Young in Heart","0","0","0","0","0","0","2","0","0","0","0","2","0","0","0","0","0","0","0"
"169","1938","There Goes My Heart","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
