"","Year","pictures","Best_Picture","Best_Editing","Best_Directing","Best_Actor","Best_Supporting_Actor","Best_Actress","Best_Supporting_Actress","Best_Sound","Best_Song"
"207",1969,"Midnight Cowboy","1","0","1","0","0","0","0","0","0"
"208",1969,"The Prime of Miss Jean Brodie","0","0","0","0","0","1","0","0","0"
"209",1969,"They Shoot Horses, Don't They?","0","0","0","0","1","0","0","0","0"
"210",1969,"True Grit","0","0","0","1","0","0","0","0","0"
"211",1969,"Z","0","1","0","0","0","0","0","0","0"
"212",1970,"Airport","0","0","0","0","0","0","1","0","0"
"213",1970,"Lovers and Other Strangers","0","0","0","0","0","0","0","0","1"
"214",1970,"Patton","1","1","1","1","0","0","0","1","0"
"215",1970,"Ryan's Daughter","0","0","0","0","1","0","0","0","0"
"216",1970,"Women in Love","0","0","0","0","0","1","0","0","0"
"217",1971,"Fiddler on the Roof","0","0","0","0","0","0","0","1","0"
"218",1971,"Klute","0","0","0","0","0","1","0","0","0"
"219",1971,"Shaft","0","0","0","0","0","0","0","0","1"
"220",1971,"The French Connection","1","1","1","1","0","0","0","0","0"
"221",1971,"The Last Picture Show","0","0","0","0","1","0","1","0","0"
"222",1972,"Butterflies Are Free","0","0","0","0","0","0","1","0","0"
"223",1972,"Cabaret","0","1","1","0","1","1","0","1","0"
"224",1972,"The Godfather","1","0","0","1","0","0","0","0","0"
"225",1972,"The Poseidon Adventure","0","0","0","0","0","0","0","0","1"
"226",1973,"A Touch of Class","0","0","0","0","0","1","0","0","0"
"227",1973,"Paper Moon","0","0","0","0","0","0","1","0","0"
"228",1973,"Save the Tiger","0","0","0","1","0","0","0","0","0"
"229",1973,"The Exorcist","0","0","0","0","0","0","0","1","0"
"230",1973,"The Paper Chase","0","0","0","0","1","0","0","0","0"
"231",1973,"The Sting","1","1","1","0","0","0","0","0","0"
"232",1973,"The Way We Were","0","0","0","0","0","0","0","0","1"
"233",1974,"Alice Doesn't Live Here Anymore","0","0","0","0","0","1","0","0","0"
"234",1974,"Earthquake","0","0","0","0","0","0","0","1","0"
"235",1974,"Harry and Tonto","0","0","0","1","0","0","0","0","0"
"236",1974,"Murder on the Orient Express","0","0","0","0","0","0","1","0","0"
"237",1974,"The Godfather Part II","1","0","1","0","1","0","0","0","0"
"238",1974,"The Towering Inferno","0","1","0","0","0","0","0","0","1"
"239",1975,"Jaws","0","1","0","0","0","0","0","1","0"
"240",1975,"Nashville","0","0","0","0","0","0","0","0","1"
"241",1975,"One Flew over the Cuckoo's Nest","1","0","1","1","0","1","0","0","0"
"242",1975,"Shampoo","0","0","0","0","0","0","1","0","0"
"243",1975,"The Sunshine Boys","0","0","0","0","1","0","0","0","0"
"244",1976,"A Star Is Born","0","0","0","0","0","0","0","0","1"
"245",1976,"All the President's Men","0","0","0","0","1","0","0","1","0"
"246",1976,"Network","0","0","0","1","0","1","1","0","0"
"247",1976,"Rocky","1","1","1","0","0","0","0","0","0"
"248",1977,"Annie Hall","1","0","1","0","0","1","0","0","0"
